70	1.69691	0.843942	2.54085	5064	4959
65	2.48252	2.14615	4.62867	6146	5961
60	4.04262	5.03905	9.08167	7348	6985
55	7.15659	11.0122	18.1688	8803	8171
50	14.362	24.0415	38.4035	11022	9970
45	30.0979	51.5562	81.6541	15025	13607
40	65.9042	102.528	168.432	22950	21070
35	151.471	270.783	422.254	36986	33905
30	462.041	947.165	1409.21	62895	56909
70	0.863747	0.45325	1.317	5086	4956
65	1.16989	1.14525	2.31514	6173	5959
60	1.75958	2.6285	4.38809	7407	6983
55	2.77166	5.85116	8.62283	8906	8172
50	5.08943	12.5321	17.6216	11166	9970
45	10.103	27.267	37.3701	15266	13607
40	21.9958	55.3102	77.306	23354	21070
35	49.1636	136.301	185.465	37579	33906
30	141.849	505.199	647.048	63812	56908
70	0.779031	0.393986	1.17302	5095	4957
65	0.941216	0.924395	1.86561	6193	5960
60	1.34421	2.13335	3.47756	7443	6984
55	1.92436	4.72479	6.64915	8983	8171
50	3.30155	10.2219	13.5235	11320	9968
45	5.88846	20.8183	26.7067	15525	13610
40	11.7879	44.1126	55.9005	23689	21070
35	25.688	101.031	126.719	38064	33906
30	68.5185	364.921	433.439	64730	56941
70	0.717688	0.377074	1.09476	5111	4962
65	0.915757	0.94552	1.86128	6221	5961
60	1.24379	2.16252	3.40632	7492	6991
55	1.76891	4.7704	6.53931	9062	8180
50	2.82906	10.294	13.123	11451	9975
45	4.99994	20.898	25.898	15704	13611
40	9.54202	43.419	52.961	23962	21071
35	19.8014	102.181	121.982	38506	33907
30	48.7469	364.494	413.241	65444	56912
70	0.747235	0.378881	1.12612	5107	4957
70	3.78712	1.67803	5.46514	5036	4956
65	6.22136	4.31168	10.533	6097	5959
60	11.2571	9.89887	21.156	7244	6984
55	21.9683	21.7665	43.7348	8626	8170
50	46.8496	47.3042	94.1538	10745	9969
45	101.402	95.9916	197.393	14608	13606
40	222.251	202.469	424.719	22419	21069
